Name	B1	B2	B3	B4	B5	B6	F1	F2	F3	F4	F5	F6
Phe-Thr	6.430545345936781	6.488930651634842	6.333137283950108	6.375904167433038	6.36260447146327	6.364120919527441	6.700487281276481	6.762542147764267	6.726590758662718	6.728075899875267	6.723005355971213	6.776393406298064
N-Methylpropanamide	6.846259460755253	6.508993729842982	6.472556674689742	6.398333893272698	6.668963176601143	6.361720208710048	7.634539173465006	7.644049416098854	7.661695272424195	7.651968979098271	7.6338533974274	7.661138087170202
L-Serinamide	6.727050239069871	6.7351652084341405	6.7412569218373255	6.740448599285625	6.764990968217431	6.754478188217875	6.30906551194197	6.3454955087741	6.300779348481829	6.292883901106161	6.304796985488077	6.329344776579488
2-Hydroxyfelbamate	6.488882040618568	6.389887676501549	6.721172091205395	6.415814807816079	6.37275074084936	6.511052339417988	6.830366144898635	6.958911604108003	6.85818300156545	6.940650787979889	6.841451711687102	6.867264217048597
D-homoserine lactone	5.980934042321349	5.976579026500345	6.112175902090961	5.631816982644138	5.820872559277913	5.939065673642145	6.160621407096048	6.214368085204487	6.212424951606748	6.388204996198386	6.28581334449739	6.434394475712893
Palmitoyl Serinol	7.147328067599725	7.146069739971501	7.129251986945171	7.146134430680825	6.997867692804791	7.012789920866203	7.593791778093931	7.614792608007261	7.589376879589538	7.53611999835668	7.614765318308016	7.57337249126528
Tofacitinib	6.084276860267534	6.108654777813026	6.087977489710921	6.123729448360328	6.102072555383303	6.134998582926447	5.518783405024916	5.688148088745776	5.470648657684438	5.559260641796271	5.5523010740701695	5.461978277117298
Phloroglucinol	6.188418676698028	6.105820617345119	6.064619394795621	6.236882622863737	6.578552488818668	6.0204912587925365	6.788952451512	6.780600691776784	6.877355939397485	6.887889297429106	6.796365401382753	6.787571302942276
Galeterone	5.065320836572716	4.987832566632712	5.080050936329058	5.011909889034774	5.057973908029137	4.98234275946094	5.896457825733176	5.936158065234237	5.929035894476639	5.9303235029964565	5.944662064720661	5.926856283435995
Emeriamine	6.019832443904902	6.027142862552051	6.027587420235759	6.003863646537964	6.021649885338112	5.992102107885579	6.52110255906437	6.534943355082588	6.517085151569803	6.515678494448366	6.535955516279085	6.532732353561831
Lestaurtinib	6.389595566644273	6.416622988319105	6.500048555407029	6.572789079374302	6.56994630337062	6.515336670415322	6.141764787630549	6.158896337744402	6.152119461296547	6.109444981779279	6.206947786230652	6.1465832276744
Monoelaidin	6.129726600888032	6.084389220086951	6.04780691540196	5.964881392413752	6.109639213727351	6.011420799201726	6.66804104062623	6.670859376988818	6.644392688066612	6.687872412804918	6.678697647925153	6.631361748913791
Butabarbital	6.464431027846134	6.444939313908972	6.472005981246494	6.467846468889651	6.4537779640348605	6.462584325630408	7.032683707089037	7.097223173736798	7.03128152213715	7.017584293965108	6.969205459501296	7.049597971800948
Moroxydine	5.769888526658452	5.785630267594334	5.782584018855431	5.735602584290944	5.864744368835304	5.745046665302618	6.208052700797032	6.175240157076471	6.213395768482377	6.199114273665524	6.195814378756474	6.207723541596691
Ametoctradin	6.339029275990615	6.327931108997442	6.345149058287995	6.426069323103999	6.44570857702794	6.448332634657592	5.887356998074278	5.885618462871937	5.929504434378255	5.865011522903242	5.888055692826066	5.911056879133716
Musk ketone	5.95756143841043	5.982324363330549	6.329844638279065	5.9972075355706975	6.065928272349871	6.07650606137639	6.673500400810272	6.479452175918693	6.460430635313412	6.458972868274534	6.46765945369615	6.476803801348181
